epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,183.92,0.79458,0.82191,0.83495,0.72104,0.85621,0.8395,0.58674,0.99955,0.70844,0.87543,0.000539275,0.000539275,0.000539275
43,187.889,0.80702,0.82873,0.8706,0.85244,0.7402,0.85113,0.59196,1.05067,0.71725,0.87931,0.000511769,0.000511769,0.000511769
44,191.947,0.77101,0.81789,0.8566,0.9096,0.68137,0.82821,0.55906,1.0606,0.77989,0.88327,0.000484263,0.000484263,0.000484263
45,196.629,0.8259,0.80982,0.8564,0.80786,0.77181,0.81496,0.56271,1.0414,0.8196,0.88829,0.000456758,0.000456758,0.000456758
46,200.5,0.74073,0.74716,0.84186,0.80883,0.74346,0.79804,0.55641,1.02514,0.77906,0.89011,0.000429253,0.000429253,0.000429253
47,203.984,0.75471,0.751,0.84277,0.82749,0.79494,0.81629,0.56861,1.01897,0.74805,0.89041,0.000401747,0.000401747,0.000401747
48,208.93,0.74884,0.71826,0.83994,0.8013,0.76661,0.81798,0.56063,1.03134,0.72533,0.89378,0.000374242,0.000374242,0.000374242
49,212.765,0.70928,0.70942,0.83395,0.76711,0.78854,0.81956,0.55363,1.02411,0.68971,0.88954,0.000346736,0.000346736,0.000346736
50,216.54,0.73048,0.732,0.83801,0.81787,0.81911,0.84044,0.57535,1.03179,0.65647,0.88617,0.000319231,0.000319231,0.000319231
51,229.653,0.7135,0.86607,0.83812,0.80815,0.85621,0.84554,0.56188,1.05116,0.67096,0.8827,0.000291725,0.000291725,0.000291725
52,236.504,0.7266,0.86734,0.80768,0.85458,0.84948,0.8497,0.57555,1.05451,0.69527,0.88161,0.00026422,0.00026422,0.00026422
53,241.824,0.67983,0.82196,0.83054,0.84216,0.85621,0.8525,0.5918,1.04744,0.67041,0.87834,0.000236714,0.000236714,0.000236714
54,246.345,0.66533,0.76422,0.83639,0.8856,0.85621,0.85389,0.58988,1.04083,0.65181,0.87991,0.000209209,0.000209209,0.000209209
55,250.447,0.646,0.7558,0.81386,0.89087,0.82447,0.84999,0.58289,1.02539,0.64641,0.87938,0.000181703,0.000181703,0.000181703
56,254.13,0.64725,0.74831,0.81364,0.87555,0.79682,0.83674,0.57572,1.05621,0.67029,0.88199,0.000154198,0.000154198,0.000154198
57,258.635,0.63463,0.72898,0.79323,0.85539,0.83404,0.83403,0.57393,1.06636,0.66618,0.88191,0.000126692,0.000126692,0.000126692
58,262.699,0.6265,0.73725,0.80859,0.84359,0.85621,0.83404,0.57005,1.07475,0.66887,0.88196,9.91865e-05,9.91865e-05,9.91865e-05
59,266.528,0.64518,0.73041,0.81829,0.84115,0.85621,0.83693,0.57139,1.06722,0.66822,0.88218,7.1681e-05,7.1681e-05,7.1681e-05
60,270.183,0.6134,0.73372,0.7962,0.84179,0.85621,0.83692,0.57055,1.07186,0.67003,0.8839,4.41755e-05,4.41755e-05,4.41755e-05
